epoch,abdomen,abdomen_tip,head,l_antenna_joint,l_antenna_tip,l_leg_1,l_leg_2,l_leg_3,l_mandible,loss,lr,r_antenna_joint,r_antenna_tip,r_leg_1,r_leg_2,r_leg_3,r_mandible,tag,thorax,val_abdomen,val_abdomen_tip,val_head,val_l_antenna_joint,val_l_antenna_tip,val_l_leg_1,val_l_leg_2,val_l_leg_3,val_l_mandible,val_loss,val_r_antenna_joint,val_r_antenna_tip,val_r_leg_1,val_r_leg_2,val_r_leg_3,val_r_mandible,val_tag,val_thorax
0,0.0012957548024132848,0.0013370130909606814,0.0012984424829483032,0.0013207376468926668,0.0012911410303786397,0.0013172763865441084,0.0013204478891566396,0.0013422027695924044,0.001330086262896657,0.0013178075896576047,1e-04,0.0013261062558740377,0.0012831240892410278,0.001316883834078908,0.001326083205640316,0.0013462938368320465,0.0013299561105668545,0.0012899099383503199,0.001331275561824441,0.0015712057938799262,0.001352266757749021,0.0014709995593875647,0.0013231589691713452,0.0012874689418822527,0.0012850601924583316,0.0013240326661616564,0.001343107083812356,0.0013230573385953903,0.0013477910542860627,0.0013187158619984984,0.0012998428428545594,0.0013002986088395119,0.0013233431382104754,0.0013487868709489703,0.0013164615957066417,0.001342050265520811,0.0013825908536091447
1,0.0012839552946388721,0.0013355796691030264,0.0012829365441575646,0.0013221651315689087,0.0012877320405095816,0.0013174244668334723,0.001329028862528503,0.0013452308485284448,0.0013301469152793288,0.0013156374916434288,1e-04,0.0013255043886601925,0.0012840896379202604,0.0013178137596696615,0.001319207134656608,0.001341449562460184,0.0013292428338900208,0.0012799918185919523,0.0013343474129214883,0.0013052879367023706,0.0013510269345715642,0.0013211665209382772,0.0013313404051586986,0.0012972973054274917,0.0012942033354192972,0.0013322312152013183,0.0013523732777684927,0.0013242183485999703,0.0013120593503117561,0.001317888032644987,0.0012782637495547533,0.0013008107198402286,0.0013152864994481206,0.0013372754910960793,0.0013125326950103045,0.0012010630453005433,0.0013327456545084715
2,0.0010540863731876016,0.0013108340790495276,0.001067992765456438,0.001315226429142058,0.0012878827983513474,0.0013059255434200168,0.0013164292322471738,0.0013400856405496597,0.0013282024301588535,0.001266750623472035,1e-04,0.0013251196360215545,0.0012890357756987214,0.0013066295068711042,0.0013122117379680276,0.0013439455069601536,0.001331306528300047,0.0010237685637548566,0.0012760909739881754,0.0008446312276646495,0.0012869358761236072,0.0008412260795012116,0.00131304154638201,0.0012766278814524412,0.0012867890764027834,0.0013090067077428102,0.0013449174584820867,0.0013156584464013577,0.0012065338669344783,0.0013244434958323836,0.001313722226768732,0.0012691722949966788,0.0013058080803602934,0.0013406737707555294,0.0013208889868110418,0.0006160325137898326,0.0012014989042654634
3,0.0006520937313325703,0.0010995760094374418,0.0006689928704872727,0.001315444242209196,0.001280531520023942,0.0012889421777799726,0.0012992487754672766,0.0013355603441596031,0.001327734673395753,0.0011564661981537938,1e-04,0.0013101500226184726,0.001282837358303368,0.0012853143271058798,0.001298988237977028,0.001336863380856812,0.0013204971328377724,0.0004745635378640145,0.0010826032375916839,0.0006349742179736495,0.0008823376847431064,0.0005918020033277571,0.0012987627414986491,0.0013018392492085695,0.0012641624780371785,0.0012849628692492843,0.0013294275850057602,0.00131662015337497,0.001111615332774818,0.0013078851625323296,0.0012691582087427378,0.0012511394452303648,0.0012834003427997231,0.0013423134805634618,0.0013110946165397763,0.00033371889730915427,0.0008938618702813983
4,0.0004675939562730491,0.0006777244270779192,0.0004691088106483221,0.0012930860975757241,0.0012793909991160035,0.0012552982661873102,0.0012615823652595282,0.0013182043330743909,0.001292424276471138,0.0010574508924037218,1e-04,0.0013000012841075659,0.001283688354305923,0.0012578400783240795,0.0012586824595928192,0.0013164181727916002,0.0012912375386804342,0.000291727134026587,0.0006626535905525088,0.00043697102228179574,0.0005642774049192667,0.00043567249667830765,0.0012812141794711351,0.0012830155901610851,0.0012094092089682817,0.0012160553596913815,0.001299109309911728,0.0012296733912080526,0.0010117172496393323,0.001274295151233673,0.001256596646271646,0.0011999753769487143,0.0012364285066723824,0.001302341464906931,0.0012335394276306033,0.0002843783295247704,0.0004562402900774032
5,0.000414424721384421,0.0005161238950677216,0.00041981550748459995,0.0012274886248633265,0.0012682999949902296,0.0012071436503902078,0.0011944116558879614,0.0012943338369950652,0.0011255796998739243,0.0009809477487578988,1e-04,0.001237558783032,0.0012643620138987899,0.0012150529073551297,0.0012142806081101298,0.0012979726307094097,0.0011341954814270139,0.00024418538669124246,0.00040088375681079924,0.000444401812274009,0.000577237515244633,0.0004014446458313614,0.001183512038551271,0.0012695209588855505,0.0011738769244402647,0.0012108682421967387,0.001303954515606165,0.0010038521140813828,0.0009664631215855479,0.0012194642331451178,0.001266638981178403,0.0012034315150231123,0.0012038006680086255,0.0013127713464200497,0.0010125659173354506,0.00024305058468598872,0.0003994825528934598
6,0.0003922825853805989,0.00045250458060763776,0.0003977023879997432,0.0011100200936198235,0.0012570100370794535,0.001156606595031917,0.0011352909496054053,0.0012409297050908208,0.0008651504758745432,0.0009075439302250743,1e-04,0.0011614253744482994,0.0012420325074344873,0.0011707320809364319,0.001151412376202643,0.0012431719806045294,0.0008639992447569966,0.00023552175844088197,0.0003524507337715477,0.0003821224672719836,0.00042419563396833837,0.0003676233463920653,0.0009599894983693957,0.0012206167448312044,0.001067704288288951,0.0010913278674706817,0.001195438439026475,0.0007265476160682738,0.0008444459526799619,0.0010643111309036613,0.0012156071607023478,0.001074056839570403,0.0011080142576247454,0.0011602654121816158,0.0007225329172797501,0.0002175608678953722,0.0003576641029212624
7,0.00035840406781062484,0.00038148212479427457,0.0003554486611392349,0.0008464397978968918,0.0012193104485049844,0.0010270520579069853,0.001054770895279944,0.001126620452851057,0.0006806889432482421,0.0008028930169530213,1e-04,0.0009043779573403299,0.0012205915991216898,0.0010571264429017901,0.001089440775103867,0.001138539519160986,0.000676954397931695,0.00019846114446409047,0.00031347019830718637,0.0003662816889118403,0.000392698886571452,0.0003524721250869334,0.0007628141902387142,0.0011830070288851857,0.0009496075799688697,0.0010027613025158644,0.001076629152521491,0.0005980252753943205,0.0007679428090341389,0.0008244086639024317,0.0012019177665933967,0.001021101837977767,0.0010724535677582026,0.001079617184586823,0.0005961503484286368,0.00024106579076033086,0.0003340141265653074
8,0.00034116097958758473,0.0003513989213388413,0.00034133021836169064,0.0006793140200898051,0.0011595694813877344,0.0009304428822360933,0.0009545175125822425,0.0010548416757956147,0.0005911654443480074,0.0007272808579728007,1e-04,0.0007195425569079816,0.0011707036755979061,0.0009697802015580237,0.0009848845656961203,0.0010709916241467,0.0005867709405720234,0.0001763846375979483,0.0002809676225297153,0.00035275949630886316,0.0003703291295096278,0.00036738344351761043,0.0006393137737177312,0.0011098291724920273,0.0008715891162864864,0.0007892312132753432,0.0010709607740864158,0.0005351158906705678,0.000690992281306535,0.0006637685000896454,0.0011361058568581939,0.0009046374470926821,0.000891759293153882,0.0010482246289029717,0.0005326332175172865,0.00018048046331387013,0.0002827471762429923
9,0.0003291519242338836,0.0003352636704221368,0.0003336773079354316,0.0006100568571127951,0.0010634498903527856,0.0008669878588989377,0.0007460929336957633,0.0010027856333181262,0.0005359415663406253,0.0006573200225830078,1e-04,0.0006211271393112838,0.001086501986719668,0.0008619636064395308,0.0007451185956597328,0.0010408161906525493,0.0005321026546880603,0.00018501597514841706,0.00027838931418955326,0.00031568220583721995,0.0003497499565128237,0.0003184849629178643,0.0005977096152491868,0.0010100695071741939,0.0008333521545864642,0.0007467939285561442,0.0009678620263002813,0.000505163217894733,0.0006289509474299848,0.0005374999018386006,0.0010285726748406887,0.0007943642558529973,0.0006826911121606827,0.0010377526050433517,0.000496059947181493,0.00018437685503158718,0.00028598212520591915
10,0.0002944870211649686,0.00030359087395481765,0.0002930652699433267,0.0005386156844906509,0.0008888295269571245,0.0008009140728972852,0.0006523069459944963,0.0008923406712710857,0.00046942292829044163,0.0005805275868624449,1e-04,0.0005443171830847859,0.0009321343386545777,0.0008038729429244995,0.000642266939394176,0.000957970623858273,0.00046866488992236555,0.0001527227577753365,0.00023345192312262952,0.00028202441171742976,0.00030407667509280145,0.00027685012901201844,0.00052161660278216,0.0008083691936917603,0.0007530170842073858,0.0006174299633130431,0.0007421748014166951,0.0004650689661502838,0.0005399375222623348,0.0005237002042122185,0.0008397557539865375,0.000786512391641736,0.000640908139757812,0.0008074744255281985,0.0004497295885812491,0.0001407037052558735,0.00021952507086098194
11,0.00028034771094098687,0.00028753033257089555,0.00028579181525856256,0.0005313975270837545,0.0007799023296684027,0.0007725194445811212,0.0006303180707618594,0.0006558977765962481,0.00044690497452393174,0.0005194622208364308,1e-04,0.0005134331877343357,0.0007707488839514554,0.000762009178288281,0.0006006431067362428,0.0006897639250382781,0.0004471342545002699,0.0001480983482906595,0.00022841458849143237,0.00028766720788553357,0.00032602358260191977,0.0003122357011307031,0.0005188260693103075,0.0007404231000691652,0.0007553966715931892,0.000611628987826407,0.0006130568799562752,0.00044645738671533763,0.000516387284733355,0.0005352581501938403,0.0007478430052287877,0.0007403229828923941,0.0006298426305875182,0.0006378655671142042,0.00044161605183035135,0.00018807160085998476,0.0002460478281136602
